story,character, appearing lines
b3c8ec2a-d497-492f-a6e8-1dc763b3bdf1,I (myself),"[1, 3, 5]"
82cc29e5-f3a1-4d37-954d-7f186cc22c6e,Audience,"[5]"
82cc29e5-f3a1-4d37-954d-7f186cc22c6e,Jason,"[1, 2, 3, 4, 5]"
93b6e466-4a5b-48b1-9a06-cad806c6da3d,Simon,"[1, 2, 3, 4]"
55a49562-d25f-4304-b9e1-77698f4eae71,Ellie,"[1, 2, 3, 4, 5]"
55a49562-d25f-4304-b9e1-77698f4eae71,Mom,"[2, 3]"
803e5756-5880-4979-9a84-4cac84fc043d,Iris,"[1, 2, 3, 4, 5]"
b95d2e0d-e39d-4091-8dc9-fdf8ff42fe07,Jj,"[1, 2, 3, 4, 5]"
7c5d1f46-5203-40e4-950a-7015b928507d,Cayla's mom,"[3, 4]"
7c5d1f46-5203-40e4-950a-7015b928507d,Cayla,"[1, 2, 3, 4, 5]"
c07253b2-f1b3-4eae-be12-5debc5704d2b,Sam,"[1, 2, 5]"
46eab595-b416-4145-908a-f168509210d5,Norma,"[1, 2, 3, 4, 5]"
37ca294f-0f37-4e78-8bc8-458e79210320,Josh,"[1, 2, 3, 5]"
37ca294f-0f37-4e78-8bc8-458e79210320,Speech pathologist,"[1]"
37ca294f-0f37-4e78-8bc8-458e79210320,His mom,"[4]"
37ca294f-0f37-4e78-8bc8-458e79210320,3rd grade,"[2]"
5d7f1337-6114-4e40-8996-876b39b6ebad,His parents,"[2, 3, 5]"
5d7f1337-6114-4e40-8996-876b39b6ebad,Dee,"[1, 2, 3, 4, 5]"
30112ca3-a1d8-46e0-a184-fc38662da0c4,Woman,"[3, 4, 5]"
30112ca3-a1d8-46e0-a184-fc38662da0c4,Luscious look,"[1, 2, 5]"
bc366501-edca-4ad4-88a3-20188c877bbe,Owner,"[4]"
bc366501-edca-4ad4-88a3-20188c877bbe,Cat,"[1]"
1a8f8c04-e88f-4770-84ff-c103dc20b2bb,I (myself),"[2, 5]"
1a8f8c04-e88f-4770-84ff-c103dc20b2bb,Kyle,"[1, 2]"
1a8f8c04-e88f-4770-84ff-c103dc20b2bb,Roy halladay,"[3, 4]"
291bbaa7-2888-4c15-a1db-625bc4fa131f,His daughter,"[1, 4, 5]"
291bbaa7-2888-4c15-a1db-625bc4fa131f,Barry,"[1, 2, 3, 4, 5]"
e94b061e-008d-49b4-a33e-535bc09ced68,Maya,"[1, 2, 3, 4, 5]"
e94b061e-008d-49b4-a33e-535bc09ced68,Mom,"[2, 5]"
290ced81-4d5f-46dc-9b44-bd11cd5f5145,Bob,"[1, 2, 3, 4, 5]"
290ced81-4d5f-46dc-9b44-bd11cd5f5145,People,"[2]"
82080b6e-d45b-4c1c-9514-b240c41fad4b,Burt,"[1, 3, 4, 5]"
6d397164-bbb0-4e1a-9c70-82a8eb1c4f95,Geraldine,"[1, 3, 5]"
